ytid,start_s,end_s,labels,Scream,Shout,Crying,Explosion,Gunshot,Glass,Siren,Alarm
E0jIgWZgHOk,20.0,30.0,/m/0c3f7m,0,0,0,0,0,0,0,1
COKbFafzCog,27.0,37.0,"/m/0463cq4,/m/09x0r,/m/0ytgt",0,0,1,0,0,0,0,0
jc8SPqDauFA,10.0,20.0,/m/03qc9zr,1,0,0,0,0,0,0,0
cj-TZ2VuKtk,200.0,210.0,"/m/014zdl,/m/09x0r,/t/dd00128",0,0,0,1,0,0,0,0
FPQpOUNaq_Y,21.0,31.0,/m/0c3f7m,0,0,0,0,0,0,0,1
OTk4P465UuE,0.0,10.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
iXCg-9B_K_8,260.0,270.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
nweMFq8XxQg,30.0,40.0,/m/01y3hg,0,0,0,0,0,0,0,1
s1fxGZUobaw,14.0,24.0,"/m/0463cq4,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
tmwSyk2rv-I,30.0,40.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
N-Hfef5vL8Q,150.0,160.0,"/m/015lz1,/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
I8K0sfBBIcM,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
RbZwsfHw-UA,4.0,14.0,"/m/014zdl,/m/07qsvvw,/m/09x0r",0,0,0,1,0,0,0,0
IN_NwMYjpYI,30.0,40.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
75MKX1nmeNA,30.0,40.0,/m/03qc9zr,1,0,0,0,0,0,0,0
APPV-m8RGMg,10.0,20.0,"/m/015lz1,/m/04rlf,/t/dd00126",0,0,0,0,0,0,0,0
lHGYWoR3rzQ,190.0,200.0,"/m/03qtwd,/t/dd00135",0,1,0,0,0,0,0,0
8wFeTA5EI6U,510.0,520.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
NyNDQbOUyAA,30.0,40.0,/m/03kmc9,0,0,0,0,0,0,1,0
lZpQmn6ROHM,30.0,40.0,"/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
a5pMdRrYgmI,15.0,25.0,"/m/03kmc9,/m/04rlf",0,0,0,0,0,0,1,0
2-BB_iabdPI,0.0,10.0,"/m/012f08,/m/07pp_mv,/m/07yv9,/m/0k4j",0,0,0,0,0,0,0,1
d7FnQR6u1i4,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
Dx89R8wkKmA,40.0,50.0,/m/0g6b5,0,0,0,1,0,0,0,0
Qe3Z-krkM1o,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
j1CXKDC-_QY,290.0,300.0,"/m/09x0r,/t/dd00125",0,0,0,0,0,0,0,0
XqlwkKFnnoo,0.0,10.0,/m/02mfyn,0,0,0,0,0,0,0,1
tzIDxAVr5mE,4.0,14.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
P6nnNLrOQDA,20.0,30.0,/m/0c3f7m,0,0,0,0,0,0,0,1
AfwgFFrYORA,130.0,140.0,"/m/03qtwd,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
LtZAcnV5TmQ,30.0,40.0,/m/03kmc9,0,0,0,0,0,0,1,0
aAxH7n6APp8,190.0,200.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
BTmOZIQ_bko,70.0,80.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
vmjxdF8Jp-0,30.0,40.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
THDFOFCcHSw,50.0,60.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
09O0DdjpXxA,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
IrEjE8ZD5b4,90.0,100.0,/m/04rlf,0,0,0,0,0,0,0,0
DdQu_rQZeYw,220.0,230.0,/m/03kmc9,0,0,0,0,0,0,1,0
jFK6o2ClEsc,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
ft4qhVlRvR4,30.0,40.0,"/m/032s66,/m/0c1dj",0,0,0,0,1,0,0,0
iN8FpLot93E,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
L3-iKVXn7AA,180.0,190.0,"/m/018vs,/m/01b9nn,/m/0342h,/m/04rlf",0,0,0,0,0,0,0,0
wzylR_m_Ppg,90.0,100.0,"/m/01y3hg,/m/030rvx",0,0,0,0,0,0,0,1
mX1ZQyiwUhw,160.0,170.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
96c8vgRnmzo,80.0,90.0,"/m/0463cq4,/m/09x0r",0,0,1,0,0,0,0,0
VmSwRj6lqyY,0.0,10.0,/m/03qc9zr,1,0,0,0,0,0,0,0
8nRp29GyvfM,60.0,70.0,"/m/01y3hg,/m/02fs_r,/m/09x0r,/t/dd00125",0,0,0,0,0,0,0,1
nYgWorJ2I_A,30.0,40.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
t7FsZg20p2g,80.0,90.0,"/m/012ndj,/m/07r04,/m/07yv9",0,0,0,0,0,0,1,0
5VhJgckNQok,12.0,22.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
ijf4sriIuH8,70.0,80.0,"/m/04rlf,/m/05rwpb,/m/06by7,/m/07p6fty",0,1,0,0,0,0,0,0
RXPHkrxBE8M,40.0,50.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
luFUwfaE7d0,30.0,40.0,"/m/015p6,/m/020bb7,/m/09x0r",0,0,0,0,0,0,0,0
qxetWYHhZj0,60.0,70.0,"/g/122z_qxw,/m/0g6b5",0,0,0,1,0,0,0,0
lT-XceKukKU,140.0,150.0,"/m/039jq,/t/dd00125",0,0,0,0,0,1,0,0
bBffrM9J5nU,50.0,60.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
KNqoXUYBxZ0,7.0,17.0,/m/02mfyn,0,0,0,0,0,0,0,1
OpeWQLWgswI,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/07yv9,/m/09x0r",0,0,0,0,0,0,1,0
VLPeKWp_-Gk,140.0,150.0,/m/032s66,0,0,0,0,1,0,0,0
Ue1urqAHBJg,290.0,300.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
rh8nSlOo2i4,340.0,350.0,"/m/015lz1,/m/04rlf,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
dTqRhBWUgW4,230.0,240.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
GyygYycarL0,80.0,90.0,/m/0c3f7m,0,0,0,0,0,0,0,1
3bV_8hyJGXQ,30.0,40.0,/m/02mfyn,0,0,0,0,0,0,0,1
FrMqnic0t7E,0.0,4.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
7_lN_eK6PeI,0.0,10.0,/m/04qvtq,0,0,0,0,0,0,1,0
lE7BIQ_X9-M,290.0,300.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
y9krXjUBswo,50.0,60.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
2cLoIAMnddw,10.0,20.0,"/m/07pp_mv,/m/09x0r,/m/0c3f7m,/t/dd00125",0,0,0,0,0,0,0,1
kzpGjp1ynEg,10.0,20.0,/m/0c3f7m,0,0,0,0,0,0,0,1
O77pfiwVpcU,260.0,270.0,/m/032s66,0,0,0,0,1,0,0,0
_FYxjWrPSw4,210.0,220.0,"/m/04rlf,/m/07q4ntr,/m/0g6b5,/t/dd00128",0,0,0,1,0,0,0,0
tl46whoS7dY,560.0,570.0,/m/032s66,0,0,0,0,1,0,0,0
3zu2FaPGQZ0,30.0,40.0,"/m/06bz3,/m/09x0r",0,0,0,0,0,0,0,0
JjIQqd5mjFE,0.0,10.0,"/m/03kmc9,/m/07yv9",0,0,0,0,0,0,1,0
gGXorO8Eh20,20.0,30.0,"/m/01j3sz,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
wqyBBUXMM4E,190.0,200.0,/m/032s66,0,0,0,0,1,0,0,0
7xIbmY3vZOc,20.0,30.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
Oc_oaRihbAY,40.0,50.0,/m/03qc9zr,1,0,0,0,0,0,0,0
pvoyTODUvpw,370.0,380.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
cTCTXBLOMB8,0.0,10.0,"/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y",0,0,0,0,0,0,0,0
GizX7pGc3Ec,30.0,40.0,"/m/012n7d,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
W5U-uxU5Vjs,10.0,20.0,"/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
L0Bu-uBI67E,190.0,200.0,"/m/04rlf,/m/06by7,/m/07p6fty,/m/07sbbz2",0,1,0,0,0,0,0,0
ijGYg0ol2dY,10.0,20.0,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk",0,0,0,0,0,0,0,0
5Y3AcTL4r54,25.0,35.0,/m/09x0r,0,0,0,0,0,0,0,0
Aa9CLKVTxaQ,20.0,30.0,/m/0c3f7m,0,0,0,0,0,0,0,1
z6oOz1AYk7Y,10.0,20.0,/m/01y3hg,0,0,0,0,0,0,0,1
YlsmwMOSbxU,80.0,90.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
iMsqPa6nQ2o,30.0,40.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
yN4jOvo2sZI,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
kLYRNSLPcDg,240.0,250.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
IsyJcazWt7U,40.0,50.0,"/m/015lz1,/m/016cjb,/m/04rlf",0,0,0,0,0,0,0,0
sljOYe87J7E,170.0,180.0,/m/01y3hg,0,0,0,0,0,0,0,1
2dW--Di1H9U,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
W9bPspOhjRg,280.0,290.0,/m/0g6b5,0,0,0,1,0,0,0,0
mQxRVppg0JQ,190.0,200.0,"/m/04rlf,/m/07p6fty,/m/09x0r",0,1,0,0,0,0,0,0
nWHHtgTPhUo,250.0,260.0,"/m/03qc9zr,/m/04rlf,/m/09x0r",1,0,0,0,0,0,0,0
nnMWK_w3HF0,460.0,470.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
lQO7mhuLRpI,23.0,33.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
QBYtl0RfPIA,310.0,320.0,/m/03qc9zr,1,0,0,0,0,0,0,0
8kpd83JCeB8,1.0,11.0,/m/014zdl,0,0,0,1,0,0,0,0
X0mCZoFcc0k,0.0,10.0,"/m/0463cq4,/m/09x0r,/m/0ytgt",0,0,1,0,0,0,0,0
1YyWDHJ3OCM,30.0,40.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
N4QytdExGZE,80.0,90.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
S0idkWh7SZI,450.0,460.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
qGwAHw5fSNU,100.0,110.0,"/m/07pp_mv,/m/09x0r",0,0,0,0,0,0,0,1
LCqZT19NuZw,30.0,40.0,"/m/014zdl,/m/04rlf",0,0,0,1,0,0,0,0
Yv8a2aak25Y,30.0,40.0,"/m/012ndj,/m/03kmc9,/m/04qvtq,/m/09x0r",0,0,0,0,0,0,1,0
nLVmclZYZMY,200.0,210.0,/m/03qc9zr,1,0,0,0,0,0,0,0
WX_w_lXoTbU,30.0,40.0,"/m/014zdl,/m/07pxg6y",0,0,0,1,0,0,0,0
iplU8Q0HZI0,160.0,170.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
MfFv5uT-QmI,80.0,90.0,/m/0463cq4,0,0,1,0,0,0,0,0
Bd3byJ5B9W0,90.0,100.0,"/m/039jq,/m/04k94,/m/0838f,/m/09x0r",0,0,0,0,0,1,0,0
G0Sg_IhZG4g,460.0,470.0,"/g/122z_qxw,/m/0g6b5",0,0,0,1,0,0,0,0
d9EQbILtTGU,0.0,10.0,/m/032s66,0,0,0,0,1,0,0,0
-pxKb7MGnec,40.0,50.0,/m/0g6b5,0,0,0,1,0,0,0,0
E6C-3XVCmfk,0.0,10.0,"/m/01bjv,/m/01y3hg,/m/07yv9",0,0,0,0,0,0,0,1
NfMlW-jVGBk,380.0,390.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
KkLYEnNDMN8,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
S7RNZmSdDlE,0.0,10.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
vBWYA_Pawvw,80.0,90.0,"/m/01j3sz,/m/07pp_mv,/m/07rgt08,/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
J63vlQl4V2E,30.0,40.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
0n1etUBX0no,8.0,18.0,"/m/014zdl,/m/07qsvvw",0,0,0,1,0,0,0,0
XiQteL5knzo,10.0,20.0,/m/032s66,0,0,0,0,1,0,0,0
Ck17fc7X_sk,30.0,40.0,"/m/03qc9zr,/m/04rlf",1,0,0,0,0,0,0,0
PAmNTUjc0G8,80.0,90.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
04rFdVxzfF8,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
x1riEaQWEdI,60.0,70.0,"/m/04rlf,/m/06rvn",0,0,0,0,0,0,0,0
hE-QnAr6UD4,260.0,270.0,"/m/02rr_,/m/02sgy,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/m/0g12c5",0,0,0,0,0,0,0,0
Mln0mA-PCSo,30.0,40.0,"/m/03qc9zr,/m/04rlf,/m/09x0r",1,0,0,0,0,0,0,0
zh2UPYFQPfs,590.0,600.0,/m/032s66,0,0,0,0,1,0,0,0
UJEZK5o_L5Q,0.0,10.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
-09rxiqNNEs,30.0,40.0,"/m/03kmc9,/m/0dgbq",0,0,0,0,0,0,1,0
CvMFTC0yU1M,60.0,70.0,/m/03qc9zr,1,0,0,0,0,0,0,0
axnd3_MSHq0,50.0,60.0,"/m/0463cq4,/m/09x0r",0,0,1,0,0,0,0,0
jhdgd5LqdCA,10.0,20.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
TYcfOi9qgyM,30.0,40.0,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,1
7aZCdDORrIM,30.0,40.0,"/m/02lkt,/m/04rlf,/m/07gxw",0,0,0,0,0,0,0,0
SRPrQ6W_CgM,30.0,40.0,"/m/0463cq4,/m/07qz6j3,/m/09x0r,/m/0ytgt,/t/dd00002,/t/dd00125",0,0,1,0,0,0,0,0
L1SgdjH3OBo,70.0,80.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
5TWL_hGlwyg,110.0,120.0,/m/03qc9zr,1,0,0,0,0,0,0,0
Hkltdxt_xt0,0.0,10.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
fHR2wiI63cQ,20.0,30.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
JrNCF9Osh6o,340.0,350.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
N9-uDmwv81g,70.0,80.0,"/m/0463cq4,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
Uo4JXGniwVw,50.0,60.0,"/m/03qtwd,/t/dd00135",0,1,0,0,0,0,0,0
uQlTyQCuE-U,9.0,19.0,"/m/04qvtq,/m/07yv9,/m/0k4j,/t/dd00134",0,0,0,0,0,0,1,0
lM2lPRvb7Z8,200.0,210.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
MXXaUSxhr3w,30.0,40.0,"/m/01xqw,/m/0342h,/m/04rlf,/m/04szw",0,0,0,0,0,0,0,0
RwMSiW02zBk,140.0,150.0,"/m/01y3hg,/m/07pp_mv,/m/09x0r",0,0,0,0,0,0,0,1
0S7f_5UHQhk,30.0,40.0,"/m/04rlf,/m/07qcpgn",0,0,0,0,0,0,0,0
fsSKgAQ3hrY,100.0,110.0,"/m/0342h,/m/04rlf,/m/04szw,/m/07y_7,/m/0gg8l",0,0,0,0,0,0,0,0
E-kDtymGz50,380.0,390.0,"/m/039jq,/m/0838f",0,0,0,0,0,1,0,0
zlAgX6UeZwA,330.0,340.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
kPYiPN6kEXY,20.0,30.0,/m/032s66,0,0,0,0,1,0,0,0
cX50at51k1Y,160.0,170.0,/m/03qc9zr,1,0,0,0,0,0,0,0
_tO3qt89WDA,22.0,32.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
i9mt9U6xPzM,30.0,40.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
yGrS5TJ2RTU,30.0,40.0,/m/02mfyn,0,0,0,0,0,0,0,1
r5vbyN4xlgc,90.0,100.0,"/m/01hgjl,/m/02lkt,/m/03mb9,/m/04rlf,/m/0glt670",0,0,0,0,0,0,0,0
ziNxJj_gmEY,160.0,170.0,/m/09x0r,0,0,0,0,0,0,0,0
NEw40T9lEhc,60.0,70.0,"/m/0463cq4,/m/09x0r",0,0,1,0,0,0,0,0
iDdY9Kzw8Js,70.0,80.0,"/m/039jq,/m/07q7njn,/m/0c1dj",0,0,0,0,0,1,0,0
W6dkKuzQOso,290.0,300.0,"/m/02fsn,/m/04rlf,/m/04szw,/m/06ncr,/t/dd00126",0,0,0,0,0,0,0,0
K1DJtD6-bJw,0.0,10.0,"/m/015lz1,/m/0463cq4",0,0,1,0,0,0,0,0
Fxiq7k6bKUA,20.0,30.0,"/m/014zdl,/m/07pxg6y,/m/09x0r",0,0,0,1,0,0,0,0
E1OLhcgcvnQ,30.0,40.0,/m/03qc9zr,1,0,0,0,0,0,0,0
z87LyYnrFBo,20.0,30.0,/m/032s66,0,0,0,0,1,0,0,0
9BuMXykbHQM,130.0,140.0,"/m/015lz1,/m/04rlf,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
jVwcvUzK-vY,0.0,10.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
7hBUH83OJmQ,380.0,390.0,/m/03qc9zr,1,0,0,0,0,0,0,0
-rP7QaqnA3k,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
P2cynrHx-Z4,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
JjUxwv0FNUw,20.0,30.0,"/m/012ndj,/m/07r04,/m/07yv9",0,0,0,0,0,0,1,0
RPp724eucqw,0.0,10.0,"/m/012f08,/m/04qvtq,/m/07yv9,/m/09x0r,/m/0k4j",0,0,0,0,0,0,1,0
uUiZrgUpw2A,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
n02hQUfgkOw,50.0,60.0,"/m/039jq,/m/04k94,/m/09x0r",0,0,0,0,0,1,0,0
xB4S1Gpc5sY,140.0,150.0,"/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y,/t/dd00125",0,0,0,0,0,0,0,0
UMQ0-vMABuY,20.0,30.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
tXS2_n_JwU4,0.0,10.0,"/m/07qz6j3,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
bfLtJvHY2mU,340.0,350.0,/m/09x0r,0,0,0,0,0,0,0,0
9RDxqx_gY2A,12.0,22.0,/m/04qvtq,0,0,0,0,0,0,1,0
BkAg4w7Hjsw,40.0,50.0,/m/07pp_mv,0,0,0,0,0,0,0,1
E6WeZqna6KU,120.0,130.0,"/m/01v1d8,/m/04rlf,/m/04szw,/m/0l14qv",0,0,0,0,0,0,0,0
3pNZ8N1oifk,150.0,160.0,"/m/03kmc9,/m/09x0r",0,0,0,0,0,0,1,0
ce7AZ4mgPME,10.0,20.0,"/m/01wy6,/m/04rlf,/m/04szw",0,0,0,0,0,0,0,0
U7iZYppHrG0,50.0,60.0,/m/09x0r,0,0,0,0,0,0,0,0
TqqnCCkkldk,70.0,80.0,/m/0g6b5,0,0,0,1,0,0,0,0
FNF9S_g_VFM,30.0,40.0,"/m/04qvtq,/m/09x0r",0,0,0,0,0,0,1,0
tucDT1-g9N8,100.0,110.0,/m/03qc9zr,1,0,0,0,0,0,0,0
s8AXi56SPz0,0.0,10.0,/m/0463cq4,0,0,1,0,0,0,0,0
pOMhAMQ_3Ag,20.0,30.0,"/m/07pzfmf,/m/0g6b5",0,0,0,1,0,0,0,0
-J2fAN0dXLU,140.0,150.0,/m/032s66,0,0,0,0,1,0,0,0
vsg9J95sGkE,0.0,10.0,/m/0c3f7m,0,0,0,0,0,0,0,1
9bM_mkoP3lw,270.0,280.0,"/m/03lty,/m/03qc9zr,/m/04rlf,/m/06by7",1,0,0,0,0,0,0,0
5-SVszCU5Vc,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
EZsXODJrMpc,0.0,10.0,/m/0463cq4,0,0,1,0,0,0,0,0
DtzKl-PH_Uk,70.0,80.0,/m/032s66,0,0,0,0,1,0,0,0
9D5zrR8ygd4,160.0,170.0,/m/012n7d,0,0,0,0,0,0,1,0
9ghzrwN6QYo,0.0,9.0,/m/0g6b5,0,0,0,1,0,0,0,0
Qg5oOABIJMw,15.0,25.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",0,0,0,0,0,0,1,0
8TddUGafopE,20.0,30.0,"/m/032s66,/m/073cg4",0,0,0,0,1,0,0,0
rC3xz0gSA-w,200.0,210.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
sqxz6PhK-qI,50.0,60.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
2fYQmpmjL4k,380.0,390.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
eNsJB02DXqg,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
2dScU-xnfmY,0.0,10.0,"/m/07pp_mv,/m/09x0r",0,0,0,0,0,0,0,1
mdyaFNH5XNw,30.0,40.0,"/m/07qz6j3,/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
971TB9uP1z4,20.0,30.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
k8lg21IE2rg,30.0,40.0,"/m/04rlf,/t/dd00125",0,0,0,0,0,0,0,0
I6TqSAXcdtw,0.0,10.0,"/m/09x0r,/m/0g6b5,/t/dd00126",0,0,0,1,0,0,0,0
51i7eWAML9Y,20.0,30.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
2GvM-Qro1Ys,0.0,10.0,/m/032s66,0,0,0,0,1,0,0,0
5DYX9kkbdww,0.0,10.0,"/g/122z_qxw,/m/028v0c,/m/0g6b5,/t/dd00128",0,0,0,1,0,0,0,0
cZ3ymA6PSlY,30.0,40.0,/m/014zdl,0,0,0,1,0,0,0,0
6xq36kUeL84,30.0,40.0,"/m/012ndj,/m/07yv9,/m/0k4j",0,0,0,0,0,0,1,0
Z4pWkOvfnGY,6.0,16.0,"/m/032s66,/m/0_1c",0,0,0,0,1,0,0,0
8t42qBCskdw,20.0,30.0,/m/07pp_mv,0,0,0,0,0,0,0,1
ySDD_e_-E-M,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
5Unut8KldHk,30.0,40.0,"/m/07qz6j3,/t/dd00002",0,0,1,0,0,0,0,0
j3BACP6tkuE,350.0,360.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
_t3dwdSr928,0.0,10.0,"/m/032s66,/m/09x0r",0,0,0,0,1,0,0,0
8NuEnkt3D2A,25.0,35.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
vAFlySpK1iw,470.0,480.0,"/m/01y3hg,/m/09x0r",0,0,0,0,0,0,0,1
hP8BcCHKV8k,170.0,180.0,"/m/09x0r,/t/dd00129",0,0,0,0,0,0,0,0
XGvmE0l1nJk,50.0,60.0,"/m/0463cq4,/m/09x0r,/m/0ytgt",0,0,1,0,0,0,0,0
1icEOZdgkVY,30.0,40.0,/t/dd00002,0,0,1,0,0,0,0,0
m0N4JTHAClQ,10.0,20.0,/m/02mfyn,0,0,0,0,0,0,0,1
gHUcKIpX_PM,90.0,100.0,"/m/02lkt,/m/03mb9,/m/04rlf",0,0,0,0,0,0,0,0
nhfep0qen4g,130.0,140.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
XZiuCfXko-I,100.0,110.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
v2n6w1fuVB0,390.0,400.0,/m/07pp_mv,0,0,0,0,0,0,0,1
xvRTdi5JU8c,50.0,60.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
y_1aaL5hPCo,40.0,50.0,/m/032s66,0,0,0,0,1,0,0,0
S9ELFE9wm6k,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
mJgRXlPBx3o,10.0,20.0,/m/0g6b5,0,0,0,1,0,0,0,0
lKyHJkSDS0c,30.0,40.0,/m/032s66,0,0,0,0,1,0,0,0
gepRRiltWHE,0.0,10.0,"/m/014zdl,/m/07qsvvw",0,0,0,1,0,0,0,0
PoqbhfBdZho,530.0,540.0,"/m/039jq,/m/04rlf",0,0,0,0,0,1,0,0
bXo1LI0JSxA,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
wQN-VAPfqi8,10.0,20.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
I19_273UXc0,140.0,150.0,"/m/039jq,/m/09x0r",0,0,0,0,0,1,0,0
30DWYj-POo0,170.0,180.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
UTG6-04IRPo,30.0,40.0,"/m/032s66,/m/04zjc",0,0,0,0,1,0,0,0
iMHgNZ6KoIE,290.0,300.0,"/m/03qc9zr,/m/0ytgt",1,0,0,0,0,0,0,0
apVH3jJR5RM,0.0,10.0,/m/0463cq4,0,0,1,0,0,0,0,0
iTogHZ4AmhM,10.0,20.0,"/m/012ndj,/m/03j1ly,/m/03kmc9",0,0,0,0,0,0,1,0
YwWKiZNL5_I,80.0,90.0,/m/039jq,0,0,0,0,0,1,0,0
Pgom8ORu7iE,21.0,31.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
w0-Dfn4K490,30.0,40.0,"/m/04rlf,/m/09x0r",0,0,0,0,0,0,0,0
7cQFArXOqL4,10.0,20.0,"/m/03qtwd,/m/053hz1,/t/dd00135",0,1,0,0,0,0,0,0
9xohZqQ3dUg,60.0,70.0,"/m/0463cq4,/m/09x0r",0,0,1,0,0,0,0,0
YrDmEizc-d8,340.0,350.0,"/m/0342h,/m/04rlf,/m/06by7,/m/07p6fty",0,1,0,0,0,0,0,0
gx2XlQCxf70,30.0,40.0,/m/09x0r,0,0,0,0,0,0,0,0
d4beUXa_lLE,80.0,90.0,"/m/014zdl,/m/04rlf",0,0,0,1,0,0,0,0
hG11UhNkIn0,30.0,40.0,"/m/03qtwd,/t/dd00135",0,1,0,0,0,0,0,0
uuCsu6qOvgE,70.0,80.0,/m/04qvtq,0,0,0,0,0,0,1,0
